job_title,job_category
"Dørmand søges - Aarhus",3
"Dørmand søges - Aalborg",3
"Dørmand søges - Odense",3
"Livredder - tilkaldevikarer til Aarhus Svømmestadion",3
"Vagt til Kredskørsel",3
"Servicevagt, Portvagt, Fastvagt",3
"Detektiv på deltid",3
"Servicevagt, Portvagt, Fastvagt",3
"Detektiv på deltid",3
"Detektiv på deltid",3
"Danmarks bedste vagtplanlæggere søger en kollega",3
Bilsynsassistent,3
"Fængsels- og transportbetjent 2021",3
"Parkeringsvagt til vores pladser på Bornholm søges",3
"Poolcheck, kontrol/rengøring i sommerhus i Rødding v.Spøttrup",3
"Poolcheck, kontrol/reparation i sommerhuse i Blokhus",3
"Medarbejder til døgnbemandet kontrolcentral",3
Parkeringsmedarbejder,3
"Eksamensvagter til Roskilde Gymnasium",3
"Assistent til udlevering af selv-test kits i Helsinge",3
"Eksamensvagter til Rybners i Esbjerg",3
"Eksamensvagter til Haderslev Katedralskole, onsdag d. 28/4",3
"Eksamensvagter til SCU Skanderborg, torsdag d. 17/4",3
"Vikarer søges til håndtering af selv-test kits i Aarhus",3
"Eksamensvagter til UCL Svendborg - 3. maj",3
"Hovedstadens Beredskab søger vice- eller beredskabsinspektører til Tilsyn og Rådgivning",3
"DEKRA Bilsyn søger bilsynsassistent til Ringkøbing",3
"Securitas søger sikkerhedsvagter til Esbjerg",3
"Værkmester med landbrugsfaglig baggrund til Institution Sydvestjylland, Renbæk Fængsel",3
"Vil du være vores nye teamleder i Aquadome i Lalandia i Billund ?",3
"Sikringstekniker til innovativ virksomhed",3
"Beredskabsmedarbejder til COVID-test Afdeling, Regionshospitalet Skive",3
"Servicevagt til arbejde i Haderslev Kommune",3
"Sikkerhedskonsulent - specialiseret praktiker til Kriminalforsorgen Syddanmark",3
"Teknisk designer/byggetekniker, bygningskonstruktør",4
"Teknisk designer / Produktions teknolog til Konstruktion",4
"Teknisk Designer",4
"3D konstruktør",4
"Klippeassistent med god indsigt i alle dele af filmproduktion søges til spændende E-Handelsvirksomhed i vækst.",4
"Svane Køkkenet Næstved søger indretningskonsulent",4
"DGI Storkøbenhavn søger en praktikant til byudvikling og idrætsfaciliteter",4
"Salgsperson med guldsmede erfaring",4
"VIKING søger erfaren GRAFISK DESIGNER med stærke video skills",4
"VIKING søger TEKNISK DESIGNER",4
"¨Studiejob¨ Grafisk designer hos Esbjerg Street Food",4
"Er du vores nye UX designer",4
"Tekniskdesigner til tekniske installationer",4
"AUTOCAD LAYOUT TEGNER",4
"Lejlighedsvis hjælp.",4
"Er du erfaren teknisk designer med et godt øje for at skabe et solidt produktionsteknisk grundlag?",4
"Kreativ og selvkørende grafisk designer søges",4
"Skiltetekniker søges!",4
"Bogbindere eller bogbinderassistenter med erfaring",4
"KIDS-UP + D-XEL SØGER DESIGNER TIL DRENGE KOLLEKTIONERNE",4
Grafiker,4
"Fremtidens Grafiske produktionsmedarbejdere søges",4
"Designer med ledelseserfaring til B2B tekstilvirksomhed i vækst og med et solidt værdisæt",4
"Projektstyrende teknisk designer",4
"HMF Group A/S søger Technical Writer",4
"Digital media and graphics coordinator - HMF Group A/S",4
"Color Label søger trykkeriarbejder",4
"VKAREN.DK søger en Tekniker til konstruktion",4
"Nortex A/S søger ny medarbejder",4
"Claus Andersen Rustfri Stål A/S i Odense søger en detaljeorienteret teknisk tegner",4
"Digital Visual Merchandiser til OMNI-channel Marketing hos INTERSPORT.dk søges",4
"Selvkørende "vicevært" søges til Køge",4
"Freelance syerske til nyopstartet systue",4
"Junior Graphic Designer",4
"Mediegrafiker til Københavns Rådhus",4
Servicemedarbejder,4
Librarian,4
"Content Creator",4
"Project assistant",4
"Teknisk designer",4
"Visual Content Creator & Art Director",4
"Junior-projektkoordinator til strategisk it-udviklingsprojekt i Kriminalforsorgen",5
"Scrum Master til strategisk it-udviklingsprojekt i Kriminalforsorgen",5
"Technical Support Specialist - ERP/CRM",5
"Magento backend udvikler",5
"Drupal backend udvikler",5
"Frontend udvikler søges til webbureau",5
"Cyber Risk Manager i afdelingen for Cyber- og Informationssikkerhed i Sundhedsdatastyrelsen",5
"IT-supporter til vores kontor i København",5
"Udvikler med flair for Cloud-teknologi og DevOps mindset",5
"Udvikler til DataOps team",5
"Lead Developer (Copenhagen)",5
"EasyPractice is looking for a Product Manager / Product Owner",5
"Bliv IT-supporter i Tårnby Kommune",5
"IT-infrastrukturspecialist til Naviairs IT-afdeling",5
"Frontend-udvikler søges til Kolding",5
"Full Stack PHP-udvikler søges til Kolding",5
"Vikar med stort IT-kendskab søges til Løsning",5
"Content manager hos Apuls.dk",5
"Konsulent til teamet ”IT og Digitalisering”",5
Udvikler,5
"Apple ACMT/IOS Tekniker Vejle",5
"Huawei og Samsung Tekniker Trainee Vejle",5
"Tværgående IT-Konsulent til Fors A/S",5
"Alsidig IT tekniker/installationsmedarbejder",5
"Senior .Net/C# systemudvikler",5
"Backend- & webudvikler",5
"Software Developer",5
"IT-Administrator til Frederikshavn Forsyning",5
"studentermedhjælper til vores informationssikkerhedsteam",5
"Frontendudviklere med erfaring i Wordpresss",5
"Skanderborg Forsyning søger Business Intelligence konsulent",5
Programmør,5
"Vi søger IT-medarbejder til udvikling og konfiguration",5
"Document Capture Supporter",5
"Software developer",5
"Serviceorienteret IT supporter til HelpDesk",5
"IT-systemadministrator til Server og Infrastruktur",5
"PC bygger",5
"Skarp PHP webudvikler søges - Aarhus",5
"Senior Software developer/Architect - Spillehallen.dk",5
.Net-udvikler,5
"Cloud Engineer for Innovative Digital Services for Agriculture",5
"Full Stack udvikler til fremtidens sundheds-IT løsninger",5
"Front End Developer",5
"Solution Architect",5
"NordicPAS søger dygtig chefudvikler med dybdegående kendskab til php",5
"Sundhedsfaglig it-specialist til medicinområdet i Region Midtjyllands elektroniske patientjournal",5
"Præhospitalet søger en medarbejder med stærke IT-kompetencer til opgaver inden for sundheds-IT",5
"Backend-udvikler til innovativt DevOps-team i stor it-afdeling",5
"Nøgleperson til IDM DevOps gruppe",5
"Frontend-udvikler til fintech i verdensklasse - Odense",5
"Wordpress udvikler hos Outsource dk",5
"ABB Robot programmør med praktisk erfaring",5
"Apple Tekniker Århus med mulighed for lederstilling",5
"Huawei og Samsung Tekniker Trainee Århus med mulighed for leder stilling",5
"Tekniker onsite",5
"Apple tekniker i BruunsGalleri",5
"Vil du være med til at overtage verden et stykke kode af gangen? Evermart søger 2x PHP udviklere!",5
"Do you want to take over the world with us, one piece of code at a time? Evermart is looking for 2x PHP Developers",5
"Forretningsorienteret Business Intelligence udvikler",5
IT-Supporter,5
"Navision / Business Central Specialist",5
"Navision/ Business Central Konsulent",5
"Business Intelligence Specialist",5
"Spændende stilling i spændingsfeltet mellem systemdrift og support",5
"Spännande IT-konsultjobb i ledande systemhus til supportteam i Danmark",5
"Deutschsprachiger IT-Berater  (w/m) für eine spannende Position in Dänemark",5
"Odico søger softwareudvikler",5
"PLC Programmør til Aabenraa - Er det dig?",5
"Erfaren it-projektleder",5
Softwareudvikler,5
"Windows klienttekniker til IT-help i SDU IT",5
"IT-projektleder til ETU Forsikring",5
"Erfaren Geodata medarbejder",5
"Safety Expert - Robotics",5
"UX Designer",5
"Front-end SW Developer",5
"Back-end SW Developer",5
"IT Medarbejder til nulstilling/ registrering af databærende enheder.",5
"Network specialist with Digitalization skills",5
"Langeland Kommune søger en IT-systemkonsulent",5
"FGU Syd- og Vestsjælland søger IT-supporter til FGU Korsør",5
Webudvikler,5
"Google Ads Specialist",5
IT-udvikler/LIMS-medarbejder,5
"PMO konsulenter til Koncern IT, Region Sjælland",5
"Erfaren og handlekraftig programleder til Koncern IT",5
"Software Developer",5
"CTO/CPO søges til (modent) start-up i jobbranchen",5
"It-specialist med interesse for efterforskning af it-kriminalitet til Nationalt Cyber Crime Center (en del af en ny national efterforskningsenhed)",5
"Frontend Developer",5
"Business Intelligence konsulent til DataLab",5
IT-supporter,5
"Digital marketingkonsulent",5
"Online Traffic Manager",5
"IT systemkonsulent",5
"IT tekniker til hjælp ved spidsbelasninger",5
"Product Support Engineer – Android Phone Technology",5
"C#/.net-udvikler (Frontend)",5
"netIP - Microsoft Office 365-Konsulent",5
"Full Stack Developer",5
"Scrum Master",5
"Teknisk Supporter",5
"Systemadministrator med talent for Microsoft-teknologier",5
"Backend developer for our webshop platform",5
DevOps,5
"Erfaren .NET-udvikler",5
"Erfaren PHP-udvikler til betalingsgateway",5
""Konsulent til organisatorisk implementering af fagsystemet EG Sensum One"",5
"Tekniker til kalkulation og indkøb",5
"Vi søger softwareudviklere til at gennemføre verdens største og mest avancerede logistikløsninger.",5
Projektleder,5
"Frontend Developer til e-commerce",5
"Softwareudviklere til vores kunder i Aarhus",5
"Erfaren netværksspecialist til Borgmesterens Afdeling",5
"3 Fullstack-udviklere søges til Heymate i Aarhus",5
"betterpeople A/S søger for SGM Light A/S en softwareudvikler",5
"Erfaren PHP/WordPress udvikler søges til webbureau",5
"It-projektleder med teknik i rygsækken til Socialstyrelsens It-afdeling",5
"It-projektleder til Socialstyrelsens It-afdeling",5
"Erfaren digital projektleder til IT-udviklingsprojekter",5
"Awesome Ruby on Rails udvikler",5
"Projektleder til Odense Kommunes digitaliseringsprojekter",5
"Projektleder til Odense Kommunes digitaliseringsprojekter – tidsbegrænset",5
ERP-løsningsarkitekt,5
"Hjemmesidemedarbejder med kendskab til HTML og CSS søges til spændende E-Handelsvirksomhed i vækst.",5
"AV-tekniker til Roskilde Universitet - RUC Digital",5
"Faste og midlertidige ansættelser af serviceminded og løsningsorienteret it-supportere til Servicedesk i Ballerup",5
"Oracle Database Administrator til Statens It",5
"Teknisk systemkonsulent til Team Fælles Kundesystemer",5
"Firewall-tekniker til Team Firewall og Core i Statens It",5
"Statens It søger serviceminded og løsningsorienteret It-konsulent til midlertidig stilling i vores Serviceområde – Brugeradministrationen",5
"Data Engineer",5
"Solutions Architect",5
"Solutions Engineer",5
"Senior Web Front-End Software Developer",5
"Senior Software Developer",5
"Samsung og Huawei Tekniker Trainee",5
"Tekniker onsite",5
"Tekniker hårde hvidevarer",5
"Apple ACMT/IOS Tekniker Glostrup",5
"Software developer with C# / .NET experience",5
"IT supporter",5
"Commercial Excellence Consultant",5
"Electronics Technician - Contractual Role",5
"Sr. Embedded Engineer, Streaming Media",5
"Sr. QA Automation Engineer",5
"Sr. Software Engineer",5
"International Data & QA Manager",5
"Machine Learning Engineer for a new music streaming service",5
"JUNIOR SYSTEMADMINISTRATOR",5
"Web-udvikler søges til virksomhed i drift",5
"VIKING seeks two SOFTWARE DEVELOPERS",5
"Web QA Tester",5
IT-supporter,5
"Digital service søger en teamleder til servicedesk og support",5
"Webudvikler med erfaring søges til webshop med høj vækst",5
"Power System Engineer for DEIF",5
"Erfaren IT Specialist til infrastruktur team",5
"Netværkskonsulent - Consulting & Projects - København",5
"Medarbejder med flair for it",5
"Backend Laravel udvikler (m/k) søges til Viborg",5
"Systemspecialist til Region Midtjyllands hospitalsbookingsystemer",5
"Medarbejder med fokus på RPA og automatisering søges til Koncernøkonomi",5
"Backend udvikler søges til udvikling af interne systemer",5
SEO-specialist,5
"CAD/C# UDVIKLER",5
IT-PROJEKTLEDER,5
"IT-KONSULENT MED CLOUD-KOMPETENCER",5
"LEDENDE IT-KONSULENT MED CLOUD-KOMPETENCER",5
"Data Engineer",5
"Formidler og gådedesigner med historikerbaggrund",5
"IT Specialist",5
"Digitaliseringskonsulent med strategisk blik og passion for forandring tæt på praksis til Høje-Taastrup kommunes digitale taskforce",5
"Konsulent til implementering af IT-systemet DaluxFM",5
"Systemforvalter eller It-konsulent til Center for It, Medico og Telefoni (CIMT)",5
"Brænder du for at arbejde med sundhedsdata i stor skala?",5
"O365-systemforvalter eller It-konsulent til Center for It, Medico og Telefoni (CIMT)",5
"Teknisk- og serviceminded kollega til Servicedesk",5
"Tekniker til drift og support af Region Hovedstadens laboratorieudstyr",5
"The leading Nordic manufacturer and retailer of gaming equipment is looking for an experienced frontend engineer",5
"The leading Nordic manufacturer and retailer of gaming equipment is looking for an experienced backend engineer",5
"Frontend Udvikler",5
"Backend Udvikler",5
"UX Designer",5
"IT-supporter søges til Via Trafik i Birkerød",5
"FRONTEND UDVIKLER der har indgående erfaring med softwareudvikling, JavaScript og TypeScript",5
"PLC-PROGRAMMØR med ansvar for projektering og programmering af PLC-styringer",5
"Embedded Linux Developer",5
"Dygtig Microsoft konsulent med faglig bredde",5
".Net udvikler med overblik",5
"Konsulent/udvikler til test",5
".Net udvikler",5
"Azure Cloud Developer (English Speaking)",5
"C#/.NET/Azure Udvikler",5
"Java developer (English speaking)",5
"Senior Software Test Manager",5
"Azure udvikler (English speaking)",5
"Azure Cloud udvikler",5
"SENIOR Python Full Stack Developer (English Speaking)",5
"Microsoft Azure Cloud Developer (PaaS) (English Speaking)",5
"IoT Cloud Developer/Architect  (English speaking)",5
".NET & C# udvikler",5
"Cloud Developer (English Speaking)",5
"Teknisk Tester",5
"Forretnings-/implementeringskonsulent til cloud computingplatform og infrastruktur",5
"Senior Fullstack udvikler i C#, .NET, Cloud & Umbraco",5
"SENIOR Python Backend Developer (English Speaking)",5
"IoT Cloud udvikler/Architect",5
"Cloud udvikler",5
"SENIOR React Native Developer (English Speaking)",5
"Azure Engineer/Developer",5
"Backend udvikler (udvikler by heart)",5
"Data Engineer",5
"Senior Software Developers",5
"IT-Supporter til Gladsaxe Kommunes digitaliseringsafdeling (Genopslag)",5
"Senior it-arkitekt til tværgående rolle i et agilt it-transformationsprogram",5
"Proces manager med fokus på incident management (barselsvikariat)",5
"Business Analysts til stort agilt og forretningskritisk projekt i Skatteforvaltningen",5
"Softwareudviklere med lyst til faglige udfordringer",5
"Udviklere, der vil arbejde med testrobotter",5
"Skarp iOS-udvikler til ambitiøst team",5
"Passionerede softwareudviklere til innovationskontor",5
"Kreativ softwareudvikler til innovationsteam",5
"Business Analyst til sikring af datadrevet transformation",5
"Gør en forskel som produktfokuseret Lead backend-udvikler",5
"BI forretningskonsulenter med blik for datamodellering",5
"AX Consultant",5
"Mentor med IT erfaring søges til ITU studerende",5
"Mentorer til ITU studerende",5
"Typescript Developer to build and automate VMware cloud platform",5
"Datatekniker til understøtning af undervisning",5
"CRM Developer with Dynamics experience",5
"HPC-specialist til deltagelse i nationale og internationale HPC-projekter",5
"Webdesigner og -udvikler",5
"IT-udviklere til Danmarks største open source datadistribution",5
"Implementeringskonsulent til Digitalisering i Socialforvaltningen i Københavns Kommune (barselsvikariat 1 år)",5
"Deltids Junior designer",5
"Looking for Master Thesis partner Autumn 2021 within Data Science/ML field",5
"PHP Developer",5
"Back End Developer",5
"PHP fullstack udvikler til gamification-platforme",5
"IT-Sikkerhedsspecialist til CBS",5
"Netværksspecialist til CBS",5
"CBS søger Lead Developer",5
"Tekniker hos GreenMind (Kolding)",5
"Salgsassistent hos GreenMind (Rødovre) - Deltid",5
"Computertekniker hos Greenmind (København)",5
"Tekniker hos GreenMind (Kolding) - Deltid",5
"Tekniker hos GreenMind (Rødovre) - Deltid",5
"Tekniker hos Greenmind (Aalborg)",5
"Security Architect",5
"Dynamics 365 Consultant",5
"Senior Full-Stack Developer",5
"Senior React Native Developer in a fast growing esports company",5
"Drupal udvikler til prisbelønnet fullservice webbureau",5
"Lead Fullstack Developer",5
"Teknisk dygtig IT-konsulent der kan holde mange bolde i luften",5
"IT-revisor med forretningsforståelse (Special- eller chefkonsulent)",5
"Vi søger administrative medarbejdere til Nordea!",5
"Become a Back-end developer for Nuuday!",5
"Driv økonomistyring, budgetlægning og controlling i en af statens største it-afdelinger",5
".Net udvikler til udvikling af ny platform",5
"Node.js udvikler med PHP erfaring",5
"Application Technical Lead",5
"Senior Web Engineer",5
"Cyber security specialist",5
"Risk manager",5
"Frontend Developer",5
"IT-specialist til Applikationsdrift på Københavns Universitet",5
"Nysgerrig fullstack-udvikler til Vækstfonden",5
"Erfaren e-læringsudvikler til Region H E-læring",5
"Softwareudvikler med flair for skræddersyede IT-løsninger og programmering",5
"IT Programmer- Student helper",5
"Software De­ve­l­op­ment Engineer",5
"IOS DEVELOPER",5
"ANDROID DEVELOPER",5
"BACKEND DEVELOPER",5
"Senior Software Developer",5
"Senior Backend Developer",5
"Invisible Digital Watermarking Specialist",5
"Erfaren .NET udvikler",5
"Fleksible softwareudviklere til spændende virksomhed i vækst – gerne Juniorer",5
"Dygtig og erfaren Senior Full Stack Udvikler",5
"Metodestærk konsulent til implementering af it-systemer i staten",5
"Sikkerhedskonsulenter til vores nye identitetstyveri-hotline i Digitaliseringsstyrelsen i København",5
"Vi søger en ambitiøs og fagligt stærk medarbejder, som trives med faglige udfordringer til Koncernrevision i Skatteministeriet",5
"Forretningsudvikler til Team Proces og forretningsudvikling med primært fokus på Boligejer og Ejendomsdatarapporten",5
"Business Intelligence Specialist",5
"IT-konsulent til 2. Level drift og support for Simple Solutions kunder",5
"Center for Cybersikkerhed søger tekniske kompetencer til ny sektion",5
"Big Data DevOps Engineer",5
"Big Data Operations Engineer",5
"Center for Cybersikkerhed søger tekniske kandidater til virksomheds ph.d",5
"Senior Technical Account Manager med gode evner til at skabe god kundedialog",5
"Erfaren og handlekraftig change manager",5
"Test manager til Center for IT, Medico og Telefoni (CIMT)",5
"Front-end Developer",5
"Senior Full Stack Laravel & Vue.js Developer",5
"ZBC søger test-supervisers til alle vores skoler",6
"Er du til frihed under ansvar? Rengøringsassistent/ serviceassistent",6
"Rengøringsassistent søges til Gevninge Bageri",6
"DanCenter søger timelønnede servicemedarbejdere til gennemsyn af sommerhuse",6
"Sommervikar til Industri rengøring",6
Halinspektør,6
"Servicemedarbejder til Teknisk Servicekorps - Rådhus",6
"Rengøringsassistent til morgenrengøring",6
"Fagkoordinator til teknisk service distrikt Smørum",6
"Rengøringsleder til Helsinge Realskole",6
"Serviceassistenter til afløsning i Slagelse området",6
"Serviceassistenter til afløsning i Skælskør området",6
"Er du vores nye servicemedarbejder.",6
"Rengøringsassistent til rengøring i private hjem i Nordsjælland og Storkøbenhavn/ Cleaning assistent for cleaning in private houses in Nordsjælland and Storkøbenhavn",6
"Genopslag - sommerjob som rengøringsassistent i Høje Taastrup Kommune.",6
"Rengøringspersonale til vaccinecenteret Nykøbing-Falster",6
"Rengøringspersonale søges i Midtjylland",6
"Tekniske servicemedarbejder søges for kunde i Aabenraa",6
"Servicemedarbejder til trappevask i Ringsted og Køge",6
"Serviceassistent til Lyngby (Afløser)",6
Rengøringsassistenter,6
"Ejendomsservice assistent",6
"Bliv en del af vores nye flyverteam!",6
"Rengøringsassistent til erhvervsrengøring samt anretning af frokost",6
"Rengøringsassistent (10-25 timer ugentligt)",6
Rengøringsassistent,6
Rengøringsassistent,6
Rengøringsassistent,6
"Ejendomsservice medarbejder",6
"Medarbejdere til Renseri/Vaskeri - AFTENHOLD",6
"Tekniker til rensning og vedligehold søges",6
"Rengøringsassistent søges Viby J",6
"Rengøringsassistent søges (Bjæverskov )",6
"Rengøringsassistent søges Roskilde",6
"Rengøringsassistent søges ( VIBORG)",6
"Rengøringsassistent søges Østerbro",6
"Rengøringsassistent søges - Slagelse",6
"Rengøringsassistent søges ( VIBORG)",6
"Rengøringsassistent søges Kbh S",6
"Rengøringsassistent søges Roskilde D",6
"Rengøringsassistent søges Viby J",6
"Rengøringsassistent AFLØSER søges (Gentofte)",6
"Rengøringsassistent søges - Herlev - WEEKEND",6
"Rengøringsassistent søges Kbh S",6
"Rengøringsassistent søges (Ringsted )",6
"Rengøringsassistent søges (Nykøbing F )",6
"Rengøringsassistent søges Glostrup",6
"Rengøringsassistent søges - Herlev",6
"Rengøringsassistent søges Viby J",6
"Rengøringsassistent- WEEKEND AFLØSER SØGES  (Hillerød)",6
"Rengøringsassistent søges (Nykøbing F )",6
"Rengøringsassistent søges Kbh S",6
"Ejerforeningen Lyngbo søger vicevært (30-37 timer ugentlig) snarest muligt",6
Vinduespudser,6
Rengøringsmedarbejdere,6
"Er du vores nye rengøringsassistent?",6
"Er du vores nye rengøringsassistent?",6
"Coor søger 2 Servicemedarbejdere til: Politiet i Hjørring og Brønderslev",6
"Coor søger en Servicemedarbejder til rengøring i børnehave i Løkken",6
"Coor søger 2 Servicemedarbejdere til Hotel Svendborg hvor du har mulighed for at arbeje i et fantastisk team",6
"Coor søger en Servicemedarbejder til Lundbeckfonden på Østerbro",6
"Coor søger en Servicemedarbejder til rengøring hos Politiet i Padborg",6
"Coor søger en Servicemedarbejder vores pharma kunde i Horsens",6
"Er du nysgerrig, modig og forandringsvillig, så har du mulighed for at blive en del af Rengøringsenheden på Herlev Hospital.",6
"Serviceinspektør til veletableret rengøringsfirma søges",6
"KN Rengøring søger ny serviceleder til Københavns området",6
"Dedicated and environmentally conscious cleaners wanted",6
"Fast medarbejder til rengøring",6
"2 Vinduespudsere søges omgående (firmabil og løn uden loft)",6
"5 Vinduespudsere søges omgående",6
"Erfaren vinduespudser til Ishøj",6
"Erfaren vinduespudser til Albertslund",6
"Bliv Servicemedarbejder hos ISS ved vores store kunde i Indre København",6
"ISS søger en tilsynsførende til kunde i Esbjerg",6
"ISS søger en erfaren tilsynsførende til kunde i Skive",6
"Vi søger en dygtig tilsynsførende til to skoler i Horsens",6
"Service assistent til kunde i Sønderborg",6
"ISS søger timelønnede servicemedarbejdere til rengøring hos ny kunde i Aalborg",6
"Servicemedarbejder søges til renrumsrengøring - natrengøring",6
"Er du vores nye servicemedarbejder til biograf i Esbjerg?",6
"ISS søger en fagligt stærkt og struktureret tilsynsfunktionær til kunde i Struer",6
"Vi søger en handyman til vores kunde i Lynge",6
"Erfarne Tilsynsførende til natrengøring indenfor medicinalindustrien",6
"Afløser til togrengøring",6
"Teknisk servicemedarbejder til Idrætsanlæggene i Gladsaxe",6
Rengøringsassistent,6
"Servicemedarbejder til Forenede Service",6
"Rengøringsleder til Forenede Service ejendomsdrift",6
"Rengøringsassistent til Hvidovre",6
"Rengøringsassistenter til Næstved",6
"Rengøringsleder til Forenede Service i København",6
"Rengørings-/ Servicemedarbejdere til Politiets Efterretningstjeneste",6
"Rengøringassistenter søges til arbejde i København og Nordsjælland",6
"Rengøringsassistent & opvasker / cleaning asst. & dishwasher",6
rengøringshjælp,6
"Frederiksberg Gartner- og Vejservice (FGV) søger to specialarbejdere til renhold",6
"Rengøringsassistent til Center for Social virksomhed 25 timer om ugen pr. 1. juni 2021",6
"Rengøringsassistent søges indenfor Storkøbenhavn",6
"Handyman m/k til Højdevang Sogns Plejehjem i Valby",6
"Engageret medarbejder til daglig rengøring i Distrikt 8 i Københavns Kommunes Rengøringsservice (barselsvikariat)",6
"Kultur- og idrætsmedarbejder til deltidsansættelse samt vikarer til Grøndal MultiCenter og Bellahøjhallerne",6
"Københavns Kommunes Rengøringsservice søger engageret medarbejder til daglig rengøring i distrikt 9",6
"Engageret medarbejder til daglig rengøring i Distrikt 16, Københavns Kommunes Rengøringsservice",6
"Engageret medarbejder til daglig rengøring i Distrikt 19 i Københavns Kommunes Rengøringsservice",6
"Engageret medarbejder til daglig rengøring i Distrikt 5 i Københavns Kommunes Rengøringsservice (barselsvikariat)",6
"Engageret medarbejder til daglig rengøring i Distrikt 1 i Københavns Kommunes Rengøringsservice (barselsvikariat)",6
"Miljøkontrollør til skadedyrsenheden i Teknik- og Miljøforvaltningen",6
"Engageret medarbejder til daglig rengøring i Distrikt 9 i Københavns Kommunes Rengøringsservice (barselsvikariat)",6
"Rengørings- og køkkenpersonale til Ørestad Plejecenter (afløsere)",6
"Engageret medarbejder til daglig rengøring i Distrikt 8 i Københavns Kommunes Rengøringsservice (barselsvikariat)",6
"Rengøring deltid HILLERØD",6
"Rengøringsassistenter til lejligheds rengøring i København / Cleaning assistants for apartment cleaning in different locations in Copenhagen",6
"Cleaning assistant for early morning",6
"Skadeservicemedarbejdere til dagvagter i Trekantsområdet (LØBENDE OPSTART)",6
"Skadeservicemedarbejdere til dagvagter i Trekantsområdet (LØBENDE OPSTART)",6
"Skadeservicemedarbejdere til dagvagter i Trekantsområdet (LØBENDE OPSTART)",6
"Rengøringsassistenter søges til skolerengøring i Helsinge",6
"Afløsere, vikarer, søges til ejendomsservice.",6
"Ungarbejder rengøringsjob  / studiejob",6
"Morgenrengøring Hillerød",6
"Rengøringshjælper/ pædagogmedhjælper",6
"MH-Rengøring ApS Søger Rengøringsassistent til trappevask i Aarhus, (Fredericia og Viborg).",6
"rengøringsassistent til Vejle søges",6
"Rengøringsassistent søges til virksomhed i Kolding",6
"Rengøringsassistent søges",6
"Rengøringsafløser søges til vores kunde i Haderslev",6
"Afløsere til rengøring søges til kunde i Haderslev",6
"Rengøringsassistent Plejecenter Solvang, Aars",6
"Rengøringsassistent med overblik / Oldfrue",6
"Rengøringsassistent søges til SvanePleje i Syddjurs",6
"Rengøringsassistent søges til SvanePleje i Aarhus",6
"Servicetekniker søges!",6
"Ferieafløser søges til rengøring af showroom",6
Ejendomsservicetekniker,6
"Administrator til erhvervsejendomme",6
